,positions
4430,rnbqk1nr/pppp1ppp/8/b2Np3/2P5/8/PP1PPPPP/R1BQKB1R w KQkq - 4 4
4431,rnb1kbnr/p1pp1ppp/1p2p3/8/2PPP2q/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4432,rnbqkbnr/pp2p1pp/2p2p2/3pP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4433,rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 2 4
4434,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4435,rnbqkb1r/ppp1pp1p/3p1np1/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4436,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4437,rnb1kbnr/pp1pppp1/2p4p/q7/2PPP3/8/PP3PPP/R1BQKBNR w KQkq - 1 4
4438,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/4P3/PP3PPP/RNBQKB1R w KQkq - 0 4
4439,rn1qkbnr/pbpppp1p/1p4p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4440,r2qkbnr/ppp1pppp/2np4/8/3PP1b1/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4441,rnbqk1nr/pp1pppbp/6p1/2p5/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 0 4
4442,r1bqk1nr/pppp1ppp/2n5/1Bb1p3/4P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
4443,rnbqkb1r/p1pp1ppp/4pn2/1p6/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq - 0 4
4444,rnb1kbnr/ppq1pppp/2pp4/8/2PPP3/8/PP3PPP/R1BQKBNR w KQkq - 1 4
4445,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 3 4
4446,rnb1kbnr/pp2pppp/1qp5/3p4/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 1 4
4447,rnbqkb1r/pp1pnppp/2p1p3/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 2 4
4448,rn1qkbnr/ppp2ppp/3pp3/8/3PP1b1/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4449,rnbqkbnr/pp3ppp/2pp4/4p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
4450,rnbqkbnr/p2p1ppp/1p2p3/2p5/2PP4/P7/1P2PPPP/RNBQKB1R w KQkq - 0 4
4451,rnbqkbnr/1pp2ppp/4p3/p2p4/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4452,rn1qkbnr/pbpppp1p/1p4p1/8/3PP3/3B4/PPP2PPP/R1BQK1NR w KQkq - 0 4
4453,rnbqkbnr/pp1p1p1p/2p3p1/4p3/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 0 4
4454,rnbqkbnr/p2p1ppp/1p2p3/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4455,r1b1kbnr/pp1ppppp/2n5/qBp5/4P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
4456,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4457,rnbqkbnr/pp3ppp/3p4/2pPp3/2P5/8/PP2PPPP/RNBQKB1R w KQkq e6 0 4
4458,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4459,rnbqk1nr/ppp1ppbp/3p2p1/8/4PP2/5N2/PPPP2PP/R1BQKB1R w KQkq - 2 4
4460,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4461,rnbqkbnr/pp3ppp/3pp3/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4462,r1bqkbnr/pppnpp1p/3p2p1/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4463,rnbqk1nr/pppp1pbp/4p1p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4464,rnbqkbnr/pp2pp1p/3p2p1/2p5/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
4465,rnbqk1nr/ppppp1bp/6p1/5p2/3P4/6P1/PPP1PPBP/R1BQK1NR w KQkq - 0 4
4466,r1bqkbnr/pp1npppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKB1R w KQkq - 2 4
4467,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP1B2/8/PP2PPPP/RN1QKB1R w KQkq - 0 4
4468,r1bqkbnr/pp1ppppp/8/nBp5/4P3/2N5/PPPP1PPP/R1BQK2R w KQkq - 4 4
4469,rnbqkbnr/pp2p1pp/2p5/3p1p2/3P1B2/5N2/PPP1PPPP/R2QKB1R w KQkq - 0 4
4470,rnb1kbnr/ppqppp1p/6p1/2p5/3PP3/2P5/PP3PPP/RNBQKB1R w KQkq - 1 4
4471,rnbqkbnr/p2ppp1p/1p4p1/2p5/3PP3/2P5/PP3PPP/R1BQKBNR w KQkq - 0 4
4472,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq - 0 4
4473,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4474,rnbqkb1r/pppppppp/1n6/4P3/2P5/8/PP1P1PPP/R1BQKBNR w KQkq - 1 4
4475,rnbqkbnr/pp3ppp/2pp4/4p3/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4476,rnb1kbnr/ppq1pppp/2pp4/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4477,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4478,rnbqk1nr/pp1pppbp/6p1/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4479,rnbqk1nr/pp1pppbp/6p1/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 1 4
4480,rnbqkb1r/1p1ppppp/p4n2/2p5/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4481,rnb1kb1r/pp1ppppp/2p2n2/q7/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4482,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/3B4/PPP2PPP/R1BQK1NR w KQkq - 2 4
4483,rnbqk1nr/ppppp1bp/6p1/5p2/3P4/6P1/PPP1PPBP/R1BQK1NR w KQkq - 2 4
4484,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2P5/PP3PPP/R1BQKBNR w KQkq - 1 4
4485,rnb1kbnr/ppq1pppp/3p4/2p5/3PP3/2P5/PP3PPP/R1BQKBNR w KQkq - 1 4
4486,r1bqkbnr/ppp1pp1p/2np2p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4487,rnbqkb1r/pp1pp1pp/2p2n2/5p2/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4488,rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
4489,rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 2 4
4490,rnb1kbnr/pp1p1ppp/4p3/q1p5/4P3/2P3P1/PP1P1P1P/R1BQKBNR w KQkq - 0 4
4491,rnbqkb1r/pppppppp/1n6/4P3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 1 4
4492,rnbqk1nr/pppp1pbp/6p1/4p3/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4493,rn1qkb1r/ppp1pppp/5n2/3p1b2/2PP4/1Q6/PP2PPPP/R1B1KBNR w KQkq - 3 4
4494,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4495,rnbqk1nr/ppp1bppp/3pp3/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4496,rnb1k1nr/ppppqppp/8/2b1p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
4497,rn1qkbnr/pbpppp1p/1p4p1/8/3PP3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 4
4498,r1b1kbnr/pp1ppppp/2n5/qBp5/4P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 3 4
4499,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 3 4
4500,rnbqkb1r/pp2pppp/3p1n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 0 4
4501,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4502,rnbqkb1r/pp1ppp1p/5np1/2p5/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
4503,r1bqkbnr/ppp1p1pp/2n2p2/3pP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4504,rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4505,rnbqkb1r/p1pp1ppp/1p2pn2/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4506,rnbqk2r/ppppppbp/5np1/8/2PP4/5P2/PP2P1PP/RNBQKB1R w KQkq - 1 4
4507,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 0 4
4508,rnbqkbnr/1p2pppp/p1p5/3p4/2P5/4PN2/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4509,rnbqkbnr/pp3ppp/2pp4/4p3/2PPP3/8/PP3PPP/R1BQKBNR w KQkq - 0 4
4510,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4511,rnbqkbnr/pp3ppp/3p4/2pPp3/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 4
4512,rnbqkbnr/1pp1pp1p/p2p2p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4513,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4514,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5P2/PP2P1PP/RNBQKB1R w KQkq - 0 4
4515,rnbqkbnr/pp2pp1p/2pp2p1/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 0 4
4516,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/3B4/PPP2PPP/RNBQK2R w KQkq - 2 4
4517,r1bqkbnr/pp1npppp/2pp4/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4518,rnb1kbnr/ppq1pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKB1R w KQkq - 2 4
4519,rnbqkbnr/pp1p1pp1/4p2p/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4520,rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4521,rnbqkb1r/pp2pppp/3p1n2/2p5/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 0 4
4522,rnbqkb1r/pppppp1p/8/6p1/3PnB2/8/PPP1PPPP/RN1QKB1R w KQkq - 0 4
4523,rn1qkb1r/pbpppppp/1p3n2/8/3PP3/3B4/PPP2PPP/R1BQK1NR w KQkq - 3 4
4524,rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/2P2N2/PP2PPPP/R1BQKB1R w KQkq - 0 4
4525,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/P7/1P2PPPP/RNBQKB1R w KQkq - 1 4
4526,rnbqkbnr/1p2pppp/p1p5/3p4/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4527,rnbqkb1r/ppp1pp1p/3p1np1/8/3PPP2/8/PPP3PP/R1BQKBNR w KQkq - 1 4
4528,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4529,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 1 4
4530,rnbqkb1r/pp1ppp1p/2p2np1/8/3PP3/8/PPPN1PPP/R1BQKB1R w KQkq - 2 4
4531,rnbqkbnr/ppp2p1p/3pp1p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4532,rnbqk1nr/ppp1ppbp/3p2p1/8/3P4/2P2N2/PP2PPPP/R1BQKB1R w KQkq - 0 4
4533,rnbqkbnr/pp2pp1p/2p3p1/3pP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4534,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4535,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/4B3/PPP2PPP/RN1QKB1R w KQkq - 2 4
4536,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 1 4
4537,rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 0 4
4538,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2P5/PP3PPP/RNBQKB1R w KQkq - 1 4
4539,rnbqkbnr/pp3ppp/3p4/2pPp3/2P5/8/PP2PPPP/R1BQKBNR w KQkq e6 0 4
4540,rnbqkbnr/pp3ppp/3pp3/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4541,r1bqkbnr/pp1npppp/2pp4/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4542,rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4543,r1bqkb1r/pppppp1p/2n2np1/8/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 1 4
4544,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/8/PPQ1PPPP/RNB1KB1R w KQkq - 0 4
4545,rnbqkb1r/pppppp1p/8/6p1/3PnB2/8/PPP1PPPP/R2QKBNR w KQkq - 0 4
4546,rnbqkbnr/3ppppp/pp6/2p5/3P1P2/2P5/PP2P1PP/RNBQKB1R w KQkq - 0 4
4547,rnbqkbnr/ppp2p1p/6p1/3pp3/8/3P2P1/PPP1PPBP/RNBQK2R w KQkq - 0 4
4548,rnb1kbnr/pp1p1ppp/4p3/q1p5/4P3/2P3P1/PP1P1P1P/RNBQKB1R w KQkq - 0 4
4549,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/6P1/PP1PPPBP/R1BQK1NR w KQkq - 0 4
4550,rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1PPBP/R1BQK1NR w KQkq - 2 4
4551,r1bqkbnr/pppnpp1p/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 4
4552,rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4553,r1bqkbnr/pppp2pp/2n5/4pp2/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 0 4
4554,rnbqk2r/ppppbppp/4pn2/8/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 3 4
4555,rnbqkbnr/pppp3p/5pp1/4p3/2PP4/6P1/PP2PP1P/R1BQKBNR w KQkq - 0 4
4556,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq - 1 4
4557,r1bqkb1r/pppnpppp/3p1n2/8/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 1 4
4558,rnbqkb1r/pppp1p1p/5np1/4p3/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 0 4
4559,rnbqk1nr/ppp1bppp/3pp3/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4560,rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/8/PP2PPPP/RNBQKB1R w KQkq e6 0 4
4561,r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
4562,rnbqkb1r/p1pp1ppp/1p2pn2/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4563,rnbqk2r/ppppbppp/4pn2/8/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 2 4
4564,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 1 4
4565,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4566,rnb1kb1r/pp1ppppp/2p2n2/q7/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4567,rnbqkbnr/ppp3pp/4p3/3p1p2/3P4/6P1/PPP1PPBP/R1BQK1NR w KQkq - 0 4
4568,rnbqk1nr/pp1p1ppp/2p5/4p3/1bP1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 1 4
4569,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4570,rnbqkbnr/p1p2ppp/4p3/1p1p4/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 0 4
4571,rnbqkbnr/1p1p1ppp/p3p3/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4572,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/4P3/PP3PPP/RNBQKB1R w KQkq - 0 4
4573,rnbqkb1r/p1ppp1pp/1p3n2/5pB1/3P4/5N2/PPP1PPPP/R2QKB1R w KQkq - 0 4
4574,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/4P3/PP3PPP/RNBQKB1R w KQkq - 0 4
4575,r1bqkbnr/p1pppp1p/1pn3p1/8/8/1P4P1/P1PPPPBP/RNBQK2R w KQkq - 2 4
4576,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/5N2/PP2PPPP/R1BQKB1R w KQkq - 2 4
4577,rnbqkb1r/ppp2ppp/3ppn2/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4578,r1bqkb1r/ppp1pppp/2n2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK2R w KQkq - 0 4
4579,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4580,rnbqkbnr/p1pp2pp/4p3/1p3p2/3P4/5NP1/PPP1PP1P/R1BQKB1R w KQkq - 0 4
4581,rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/N1P5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4582,rnbqkbnr/pp1p2pp/2p1p3/5p2/3P4/6P1/PPP1PPBP/R1BQK1NR w KQkq - 0 4
4583,rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 2 4
4584,rnbqkbnr/ppp3pp/4p3/3p1p2/3P4/4PN2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4585,rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4586,rnbqkbnr/ppp2p1p/3p2p1/4p3/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 0 4
4587,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4588,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4589,r2qkbnr/pppnpppp/3p4/8/3PP1b1/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4590,rnbqkbnr/1p1p1ppp/p3p3/2p5/3PP3/2P5/PP3PPP/R1BQKBNR w KQkq - 0 4
4591,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 0 4
4592,rnbqk1nr/ppppp1bp/6p1/5pB1/3P4/4P3/PPP2PPP/RN1QKB1R w KQkq - 1 4
4593,rnbqkb1r/pppppp1p/6p1/7n/2PP4/5P2/PP2P1PP/RNBQKB1R w KQkq - 1 4
4594,rnbqkb1r/pp1ppppp/8/2p5/3PnB2/8/PPP1PPPP/RN1QKB1R w KQkq - 0 4
4595,rnbqkb1r/1pp1pppp/p2p1n2/8/3PP3/4B3/PPP2PPP/RN1QKB1R w KQkq - 0 4
4596,r2qkbnr/pppnpppp/3p4/8/3P2b1/2P2N2/PP2PPPP/R1BQKB1R w KQkq - 1 4
4597,rnbqkb1r/pp1pp1pp/5n2/2p2p2/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq - 0 4
4598,rnbqkb1r/pp1ppp1p/5np1/2p5/1PP5/5N2/P2PPPPP/R1BQKB1R w KQkq - 0 4
4599,rnbqkb1r/ppp1p1pp/5n2/3p1p2/8/5NP1/PPPPPPBP/R1BQK2R w KQkq - 0 4
4600,rnbqkbnr/pp2pp1p/2p3p1/3p4/2PPP3/8/PP3PPP/R1BQKBNR w KQkq - 0 4
4601,rnbqkbnr/3ppppp/p7/1pp5/4P3/5NP1/PPPP1P1P/R1BQKB1R w KQkq - 0 4
4602,rnbqkb1r/1p1ppppp/p4n2/2pP4/2P5/8/PP2PPPP/R1BQKBNR w KQkq - 0 4
4603,rnbqkbnr/3ppppp/p7/1pp5/4P3/2N3P1/PPPP1P1P/R1BQKB1R w KQkq - 0 4
4604,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4605,rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq - 1 4
4606,rnbqkb1r/pp2pppp/7n/2pp4/8/1P2PN2/P1PP1PPP/R1BQKB1R w KQkq - 1 4
4607,rnbqkb1r/1pp1pppp/p2p1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4608,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/3B4/PPP2PPP/R1BQK1NR w KQkq - 0 4
4609,rnbqkbnr/ppp3pp/3p4/4pp2/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4610,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4611,rnbqkb1r/ppp1pppp/3p4/8/3PnB2/8/PPP1PPPP/RN1QKB1R w KQkq - 0 4
4612,rnbqk2r/ppppppbp/5np1/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4613,rnbqkbnr/ppp1pppp/3p4/3P4/8/5N2/PPP1PPPP/R1BQKB1R w KQkq - 1 4
4614,rnbqk2r/ppppppbp/5np1/8/2P5/6P1/PP1PPPBP/RNBQK2R w KQkq - 3 4
4615,rnb1kbnr/pp2pppp/3p4/q1p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4616,rnbqkb1r/pppp2pp/4pn2/5p2/2PP2P1/8/PP2PP1P/RNBQKB1R w KQkq - 1 4
4617,rnbqkbnr/p3pppp/1pp5/3pP3/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 0 4
4618,rnbqkbnr/ppp1pp1p/6p1/8/1PPp4/5N2/P2PPPPP/R1BQKB1R w KQkq - 0 4
4619,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 4
4620,rnbqkbnr/3ppppp/p7/1pp5/4P3/1P6/PBPP1PPP/R2QKBNR w KQkq - 0 4
4621,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 4
4622,rnb1kbnr/1p1ppppp/1qp5/p7/1P6/P7/1BPPPPPP/R2QKBNR w KQkq - 0 4
4623,rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4624,rnbqkb1r/pp1ppppp/2p5/3nP3/8/P7/1PPP1PPP/R1BQKBNR w KQkq - 1 4
4625,rnbqk2r/ppppppbp/5np1/8/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 2 4
4626,rnbqkbnr/p2p1ppp/1p2p3/2p5/3P4/2P2N2/PP2PPPP/R1BQKB1R w KQkq - 0 4
4627,r2qkbnr/ppp1pppp/2np4/8/2PP2b1/5N2/PP2PPPP/R1BQKB1R w KQkq - 1 4
4628,rnbqkbnr/p1p2ppp/1p2p3/3p4/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4629,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4630,rnbqkbnr/pp3ppp/2p1p3/3p4/3P1B2/5N2/PPP1PPPP/R2QKB1R w KQkq - 0 4
4631,r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4632,rnbqk1nr/ppp1ppbp/3p2p1/8/3PPP2/8/PPP3PP/R1BQKBNR w KQkq - 1 4
4633,rnbqkbnr/pp3ppp/3p4/2pPp3/4P3/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4634,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5P2/PPP3PP/R1BQKBNR w KQkq - 0 4
4635,rnbqkb1r/p1p1pppp/1p1p1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4636,rnbqkbnr/p1p2ppp/1p2p3/3pP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4637,rnbqkbnr/ppp3pp/4p3/3p1p2/2P5/5NP1/PP1PPP1P/R1BQKB1R w KQkq - 0 4
4638,r1bqkbnr/pppp2pp/2n1p3/5p2/2P5/5NP1/PP1PPP1P/R1BQKB1R w KQkq - 2 4
4639,rnbqkbnr/pp1pp1p1/7p/2p2p2/3P3B/8/PPP1PPPP/R2QKBNR w KQkq - 0 4
4640,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKB1R w KQkq - 0 4
4641,rnbqk2r/ppppbppp/4pn2/8/3P4/6P1/PPP1PPBP/R1BQK1NR w KQkq - 3 4
4642,rnbqkb1r/pp2pppp/2pp1n2/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4643,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/6P1/PP1PPPBP/RNBQK2R w KQkq - 0 4
4644,rnbqk1nr/ppp1bppp/3p4/3Pp3/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 1 4
4645,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5P2/PPP3PP/R1BQKBNR w KQkq - 1 4
4646,r1bqkb1r/pppp1ppp/2n1pn2/8/3P4/4PN2/PPP2PPP/R1BQKB1R w KQkq - 1 4
